,Vertex,Edge,inputEncode,outputDecode,inputEdgeEncode,vertexFeatures,vertexHiddenLayout,feedThroughVertexFeatures,edgeMLP,edgeFeatures,edgeHiddenLayout,feedThroughEdgeFeatures,messagelayout,parameters,seed,file,entry,r2,l2,psnr,min,max,q1,q3,std
0,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_433611252,0,0.007820589078535556,0.2336436,5.977875313695726,4.078914e-09,0.931088,0.004507810575887561,0.3802880048751831,0.30397847
1,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_433611252,1,0.013583381272991968,0.062759176,7.615110308095657,2.091803e-08,0.36546758,0.005146477720700204,0.08817526884377003,0.08752623
2,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_433611252,2,0.009392527465226563,0.14504926,7.083048366522156,4.5109502e-08,0.7476011,0.02615977730602026,0.2172633334994316,0.14163473
3,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_433611252,3,-0.004490124913521187,0.13515241,9.882711228820087,6.3759205e-07,1.3242265,0.029948884155601263,0.08687644079327583,0.235978
4,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_960745502,0,0.015368848333504048,0.2277528,4.723670740231398,7.864651e-10,0.68165064,0.07014234736561775,0.34050503373146057,0.17275466
5,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_960745502,1,0.01703933539000657,0.16430421,3.667085866466851,1.4140599e-06,0.38531083,0.03575820289552212,0.2791329473257065,0.12507956
6,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_960745502,2,0.011689978915825794,0.03871908,6.742057340906509,4.9561155e-10,0.1846127,0.003978589782491326,0.058963991701602936,0.04689844
7,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_960745502,3,0.04191704206055702,0.018627545,10.949796375973314,5.270536e-09,0.23331454,0.0010423111089039594,0.012802572688087821,0.04101471
8,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_759352143,0,0.00976990392884447,0.13223335,6.6084510446519324,9.0048874e-10,0.609673,0.018346800934523344,0.20526571944355965,0.16014315
9,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_759352143,1,0.02824414900962091,0.07952442,9.279971931768536,2.2053726e-08,0.6755845,0.008501352975144982,0.08129150979220867,0.13241427
10,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_759352143,2,0.004721863410353411,0.05792828,4.972937129153181,1.0597028e-07,0.18316707,0.01317597203887999,0.0978426095098257,0.053042065
11,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_759352143,3,0.007575272166993052,0.035629965,7.6118443911392,1.1668661e-07,0.20732726,0.004754379624500871,0.04503213707357645,0.043193866
12,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_37078787,0,0.016915633915658534,0.15618156,9.223609757543922,6.6729564e-09,1.3141731,0.016659557819366455,0.12146892957389355,0.2768914
13,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_37078787,1,0.024983467230956236,0.10427755,8.079669033283853,5.0534553e-08,0.6759896,0.011578095145523548,0.15095555409789085,0.13543485
14,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_37078787,2,0.013847346207426448,0.05890159,10.864562854934213,1.4496493e-10,0.72464937,0.004840267589315772,0.05779378488659859,0.12818107
15,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,278834676,perlin_37078787,3,-0.002165284448082838,0.049004044,11.822156768485385,7.9669826e-11,0.75021744,0.006095615099184215,0.03785825055092573,0.107904404
0,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,801872753,perlin_433611252,0,0.007961111634887663,0.23361054,5.978489733460954,1.6118307e-08,0.9311947,0.00451743311714381,0.3755572959780693,0.30403364
1,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,801872753,perlin_433611252,1,0.013527839292042154,0.06276271,7.61486555773201,8.684723e-09,0.36565614,0.005140032735653222,0.0881634745746851,0.08757085
2,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,801872753,perlin_433611252,2,0.00949908401346311,0.14503366,7.083515628538283,2.2519766e-08,0.74795336,0.026155429426580667,0.21722330525517464,0.14165778
3,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,801872753,perlin_433611252,3,-0.0049241076166961495,0.13521081,9.880835206944873,5.435813e-07,1.3244268,0.02993673738092184,0.08693542517721653,0.23601618
4,MessagePassing,CConv,False,False,False,[1 1],[],0,False,[1 1 1],[],0,[1],2,801872753,perlin_960745502,0,0.01563369458868169,0.22769153,4.7248391842745585,1.0825261e-09,0.6819696,0.07012833841145039,0.34053926169872284,0.1729022
